Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,74.8399963378906,76.3209991455078,77.745002746582,79.1900024414063,80.7839965820313,77.6539993286133,74.5589981079102,75.0559997558594,74.6399993896484,74.0059967041016,72.8479995727539,72.3199996948242,70.0429992675781,68.4619979858398,67.9150009155273,66.6579971313477,66.4130020141602,66.6360015869141,67.0699996948242,67.2480010986328
Albania,ALB,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,61.9850006103516,71.0550003051758,72.2639999389648,68.8199996948242,69.1849975585938,66.9049987792969,66.9800033569336,66.7880020141602,66.0510025024414,65.6839981079102,65.2030029296875,59.2999992370605,58.6300010681152,56.2019996643066,60.951000213623,64.2379989624023,59.6699981689453,58.4300003051758,59.0110015869141,59.431999206543
Algeria,DZA,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,39.1870002746582,37.8030014038086,37.9780006408691,39.3110008239746,38.2729988098145,35.3390007019043,35.0960006713867,39.6870002746582,34.4669990539551,34.351001739502,33.9959983825684,33.6910018920898,33.7190017700195,33.3250007629395,32.9469985961914,31.1590003967285,31.0559997558594,30.8980007171631,30.9710006713867,30.9050006866455
American Samoa,ASM,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,66.6800003051758,67.6470031738281,66.5759963989258,66.8789978027344,66.786003112793,65.2099990844727,65.4390029907227,64.7809982299805,74.0849990844727,72.947998046875,72.302001953125,71.9680023193359,71.1959991455078,71.7249984741211,71.8710021972656,71.6699981689453,71.0920028686523,71.0169982910156,71.0869979858398,71.4820022583008
Antigua and Barbuda,ATG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,40.5745231276953,40.0480063438936,40.1656876845147,40.8172209792264,39.9534255545464,39.4886201299343,39.8871849622626,40.3109784817575,39.3532862360456,37.2269930870893,37.5117333470499,36.2510547473782,35.7570186513337,34.7122019265778,35.1316373616428,34.0309222696976,34.1801357180648,34.0424740521333,33.444205302971,31.8159338881438
Argentina,ARG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,28.1959991455078,27.7999992370605,27.5540008544922,27.6229991912842,28.1700000762939,28.4309997558594,26.5499992370605,25.7600002288818,25.3950004577637,24.4979991912842,23.7730007171631,23.82200050354,24.173999786377,24.5170001983643,24.3090000152588,23.8040008544922,24.7999992370605,25.1310005187988,25.1720008850098,25.0510005950928
Armenia,ARM,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,50.8740005493164,58.9449996948242,56.8880004882813,57.2060012817383,58.6559982299805,60.5919990539551,59.2430000305176,56.4729995727539,57.2849998474121,55.8470001220703,55.193000793457,50.2019996643066,43.0940017700195,43.0009994506836,43.8580017089844,43.1110000610352,42.6780014038086,44.7560005187988,42.8089981079102,41.2150001525879
